idAuthor,tagName
773,Sistema_Brasileiro_de_Televisão
773,Samba
773,Pizza
773,Altas_Horas
773,Arroz
773,Justin_Bieber
773,Funk
773,Chay_Suede
773,Alto_Astral
773,Babilônia
773,G1
773,Malhação
773,Rodrigo_Simas
776,Malhação
776,Praia
776,Capricho
776,Sociedade_Esportiva_Palmeiras
776,Lady_Gaga
776,Rebelde_(telenovela)
776,GNT
776,Logo
776,Mortified
777,Exame_Nacional_do_Ensino_Médio
777,G1
777,Comédia
777,Malhação
781,Teatro
781,Wanessa
781,Manu_Gavassi
781,Malhação
782,Instagram
782,Capricho_Awards
782,Praia
782,Los_Angeles
782,Malhação
782,Capricho
783,GNT
783,Exame_Nacional_do_Ensino_Médio
783,IPhone
783,Sociedade_Esportiva_Palmeiras
786,Gay
792,Ténis
792,Harry_Potter
792,APP
792,Funk
792,Justin_Bieber
800,Mortified
800,Queijo
800,Sorvete
800,Praia
800,Chocolate
800,Café
800,Malhação
800,Grêmio_Foot-Ball_Porto_Alegrense
810,Capricho
810,Manu_Gavassi
810,Gay
810,Malhação
810,GNT
810,Maratona
810,Praia
813,Demi_Lovato
813,IPhone
813,Tomorrowland_(festival)
813,Praia
813,Altas_Horas
813,Skate
813,Rock
813,Gay
813,Piercing
833,Malhação
852,The_Voice_(Estados_Unidos)
852,Mortified
852,Malhação
852,Altas_Horas
852,The_Hunger_Games
852,Demi_Lovato
852,Exame_Nacional_do_Ensino_Médio
857,Malhação
857,Rebelde_(telenovela)
861,Wi-Fi
861,YouTube
861,Miley_Cyrus
861,Malhação
861,The_Voice_(Estados_Unidos)
863,Praia
863,Clube_Atlético_Mineiro
863,Malhação
863,Cruzeiro_Esporte_Clube
863,Rio_Grande_do_Sul
863,Botafogo_de_Futebol_e_Regatas
863,Terror_(gênero)
863,Sociedade_Esportiva_Palmeiras
868,Manu_Gavassi
868,Exame_Nacional_do_Ensino_Médio
868,Malhação
868,Comédia
868,Ténis
868,RBD
870,Mikoyan
870,Instagram
870,Clube_de_Regatas_do_Flamengo
877,Praia
877,Wi-Fi
877,GNT
877,Sistema_Brasileiro_de_Televisão
877,Mortified
877,Malhação
882,Malhação
882,Teatro
885,Malhação
885,Chocolate
885,Mortified
885,Teatro
885,Praia
885,Pizza
888,Malhação
898,Capricho
898,Pizza
898,Exame_Nacional_do_Ensino_Médio
898,Malhação
898,GNT
898,Manu_Gavassi
898,Miley_Cyrus
899,Mikoyan
899,Café
899,APP
906,Instagram
906,Teatro
906,Malhação
906,GNT
906,Justin_Bieber
910,Malhação
910,Comédia
910,The_Voice_(Estados_Unidos)
922,YouTube
924,Malhação
924,Capricho
924,YouTube
927,Pizza
927,Praia
927,Malhação
927,Camila_(banda)
933,Demi_Lovato
933,One_Direction
933,Manu_Gavassi
933,Restart_(banda)
933,Alto_Astral
933,Exame_Nacional_do_Ensino_Médio
933,Chay_Suede
933,Justin_Bieber
933,Malhação
933,RBD
933,Pagode_(estilo_musical)
940,Café
940,Queijo
940,Manaus
940,Teatro
940,Samba
940,G1
948,Instagram
948,Exame_Nacional_do_Ensino_Médio
948,APP
948,Vodca
948,Rede_Record
948,Beyoncé_Knowles
948,Sistema_Brasileiro_de_Televisão
948,Malhação
948,TML
948,Açaí
948,Ariana_Grande
954,One_Direction
954,The_Walking_Dead_(série_de_televisão)
954,YouTube
954,Harry_Potter
954,Samba
954,APP
976,The_Hunger_Games
976,Justin_Bieber
976,Praia
976,Malhação
976,Chocolate
983,Demi_Lovato
983,Exame_Nacional_do_Ensino_Médio
983,Malhação
989,Café
989,Club_de_Regatas_Vasco_da_Gama
989,Açaí
989,Black_Friday
989,Samba
989,APP
989,The_Hunger_Games
989,Botafogo_de_Futebol_e_Regatas
1006,YouTube
1006,Rede_Record
1006,Samba
1006,Rodrigo_Simas
1006,Malhação
1006,Sistema_Brasileiro_de_Televisão
1007,Black_Friday
1007,G1
1007,Instagram
1007,Praia
1007,Wanessa
1007,Mika
1007,Sophia_Abrahão
1007,Teatro
1007,Malhação
1007,Alto_Astral
1008,Mortified
1011,Samba
1011,Vodca
1011,Café
1011,Cerveja
1011,Chocolate
1011,Churrasco
1017,YouTube
1017,Malhação
1017,Clube_de_Regatas_do_Flamengo
1017,GNT
1023,Capricho
1023,Mortified
1023,Logo
1023,Malhação
1023,Altas_Horas
1023,Chocolate
1024,Neymar
1024,GNT
1024,One_Direction
1024,Logo
1024,Justin_Bieber
1024,Café
1025,Wi-Fi
1025,Praia
1025,IPhone
1025,Rap
1025,Instagram
1025,Snapchat
1025,Los_Angeles
1025,Justin_Bieber
1026,Funk
1026,Wi-Fi
1026,Gay
1027,Capricho
1027,Sistema_Brasileiro_de_Televisão
1027,Twitcam
1027,Malhação
1030,Praia
1030,Arroz
1030,IPhone
1030,Black_Friday
1030,Exame_Nacional_do_Ensino_Médio
